"talk_id","author_order","author","institution","location"
1,1,"David Rosenbaum","Stephen F. Austin State University","Nacogdoches, TX, USA"
1,2,"Daniel Saenz","United States Forest Service","Nacogdoches, TX, USA"
1,3,"Christopher M. Schalk","Stephen F. Austin State University","Nacogdoches, TX, USA"
2,1,"Bethany Friesenhahn","Texas A&M University Kingsville","KINGSVILLE, TX, USA"
2,2,"Randy W. DeYoung","Texas A&M University Kingsville","KINGSVILLE, TX, USA"
2,3,"Humberto L. Perotto-Baldivieso","Texas A&M University Kingsville","KINGSVILLE, TX, USA"
2,4,"Michael J. Cherry","Texas A&M University Kingsville","KINGSVILLE, TX, USA"
2,5,"Nathan P. Snow","USDA","Animal Plant and Health Inspection Service, Wildlife Services, National Wildlife"
2,6,"Research Center",NA,"Fort Collins, CO, USA"
2,7,"Kurt C. VerCauteren","USDA","Animal Plant and Health Inspection Service, Wildlife Services, National Wildlife"
2,8,"Research Center",NA,"Fort Collins, CO, USA"
3,1,"Liam G. Wolff","Stephen F. Austin State University","Nacogdoches, TX, USA"
3,2,"Clifford E. Shackelford","Texas Parks and Wildlife Department","Nacogdoches, TX, USA"
3,3,"Daniel Saenz","U.S. Department of Agriculture","Nacogdoches, TX, USA"
3,4,"I-Kuai Hung","Stephen F. Austin State University","Nacogdoches, TX, USA"
3,5,"Christopher M. Schalk","Stephen F. Austin State University","Nacogdoches, TX, USA"
4,1,"Erin C. O'Connell","Borderlands Research Institute-SRSU","Alpine, Texas, United States"
4,2,"Justin T. French","Borderlands Research Institute-SRSU","Alpine, TX, USA"
4,3,"Carlos E. Gonzalez","Borderlands Research Institute-SRSU","Alpine, TX, USA"
4,4,"Louis A. Harveson","Borderlands Research Institute-SRSU","ALPINE, Texas, United States"
4,5,"Shawn S. Gray","Texas Parks and Wildlife Department","Alpine, TX, USA"
6,1,"Maksim Sergeyev","Caesar Kleberg Wildlife Research Institute","Kingsville, TX, USA"
6,2,"Joseph D. Holbrook","Haub School of the Environment and Natural Resources","Laramie, WY, USA"
6,3,"Jason V. Lombardi","Caesar Kleberg Wildlife Research Institute","Kingsville, TX, USA"
6,4,"Michael E. Tewes","Caesar Kleberg Wildlife Research Institute","Kingsville, TX, USA"
6,5,"Tyler A. Campbell","East Foundation","San Antonio, TX, USA"
7,1,"Emily Card","Sul Ross State University","Alpine, TX, USA"
7,2,"Mieke Titulaer","Sul Ross State University","Alpine, TX, USA"
7,3,"Carlos E. Gonzalez","Sul Ross State University","Alpine, TX, USA"
7,4,"Louis A. Harveson","Sul Ross State University","Alpine, TX, USA"
8,1,"Rebekah Janelle Rylander","Texas State University","San Marcos, Texas, United States"
8,2,"Sarah Fritts","Texas State University","San Marcos, TX, USA"
9,1,"R. Keith Andringa","Texas A&M University","College Station, TX, USA"
9,2,"Jacquelyn K. Grace","Texas A&M University","College Station, TX, USA"
10,1,"Camryn Kiel","Texas A&M University","College Station, TX, USA"
11,1,"Lois Balin","Texas Parks and Wildlife Department","El Paso, TX, USA"
11,2,"Richard Heilbrun","Texas Parks and Wildlife Department","San Antonio, TX, USA"
11,3,"Kelly Norrid","Texas Parks and Wildlife Department","Houston, TX, USA"
11,4,"Jon Purvis","Texas Parks and Wildlife Department","Austin, TX, USA"
12,1,"Lois Balin","Texas Parks and Wildlife Department","El Paso, TX, USA"
12,2,"Richard Heilbrun","Texas Parks and Wildlife Department","San Antonio, TX, USA"
12,3,"Kelly Norrid","Texas Parks and Wildlife Department","Houston, TX, USA"
12,4,"Jon Purvis","Texas Parks and Wildlife Department","Austin, TX, USA"
13,1,"Levi Heffelfinger","Texas A&M University - Kingsville","Kingsville, TX, USA"
13,2,"Ryan Reitz","Texas Parks and Wildlife Department","Kerrville, TX, USA"
13,3,"Deanna Pfeffer","Texas Parks and Wildlife Department","Kerrville, TX, USA"
13,4,"David Wester","Texas A&M University - Kingsville","Kingsville, TX, USA"
13,5,"Randy DeYoung","Texas A&M University - Kingsville","Kingsville, TX, USA"
13,6,"David Hewitt","Texas A&M University - Kingsville","Kingsville, TX, USA"
14,1,"Willis Sontheimer","Texas State University","San Marcos, TX, USA"
14,2,"Deanna Pfeffer","Texas Parks and Wildlife Department","Hunt, TX, USA"
14,3,"Floyd Weckerly","Texas State University","San Marcos, TX, USA"
15,1,"Jacob L. Dykes","CKWRI","Kingsville, TX, USA"
15,2,"Austin K. Killam","CKWRI","Kingsville, TX, USA"
15,3,"Breanna R. Green","CKWRI","Kingsville, TX, USA"
15,4,"Clayton D. Hilton","CKWRI","Kingsville, TX, USA"
15,5,"Evan P. Tanner","CKWRI","Kingsville, TX, USA"
15,6,"Michael J. Cherry","CKWRI","Kingsville, TX, USA"
15,7,"Randy W. DeYoung","CKWRI","Kingsville, TX, USA"
16,1,"Calvin C. Ellis","Texas A&M University - Kingsville","Kingsville, TX, USA"
16,2,"Levi J. Heffelfinger","Texas A&M University - Kingsville","Kingsville, TX, USA"
16,3,"Shawn S. Gray","Texas Parks & Wildlife","Alpine, TX, USA"
16,4,"David G. Hewitt","Texas A&M University - Kingsville","Kingsville, TX, USA"
16,5,"Michael J. Cherry","Texas A&M University - Kingsville","Kingsville, TX, USA"
17,1,"Kathryn M. Sliwa","Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
17,2,"Jeremy A. Baumgardt","Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
17,3,"Randy W. DeYoung","Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
17,4,"J. Alfonso Ortega-S.","Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
17,5,"David G. Hewitt","Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
17,6,"John A. Goolsby","USDA Agricultural Research Service, Cattle Fever Tick Research Laboratory","Edinburg, TX, "
17,7,"USA",NA,NA
17,8,"Kimberly H. Lohmeyer",NA,", USDA Agricultural Research Service, Knipling-Bushland U.S. Livestock Insects"
17,9,"Research Laboratory and Veterinary Pest Genomics Center",NA,"Kerrville, TX, USA"
18,1,"Preston L. McKee","Borderlands Research Institute","Alpine, TX, USA"
18,2,"Justin T. French","Borderlands Research Institute","Alpine, TX, USA"
18,3,"Carlos E. Gonzalez","Borderlands Research Institute","Alpine, TX, USA"
18,4,"Louis Harveson","Borderlands Research Institute","Alpine, TX, USA"
18,5,"Shawn Gray","Texas Parks and Wildlife","Alpine, TX, USA"
18,6,"Froylan Hernadez","Texas Parks and Wildlife","Alpine, TX, USA"
19,1,"Richard Heilbrun","Texas Parks and Wildlife","San Antonio, TX, USA"
20,1,"Jared Messick","Texas State University","San Marcos, TX, USA"
20,2,"Christopher Serenari","Texas State University","San Marcos, TX, USA"
21,1,"J. Andrew DeWoody","Purdue University","West Lafayette, IN, USA"
21,2,"Avril M. Harder","Auburn University","Auburn, AL, USA"
21,3,"Samarth Mathur","Ohio State University","Columbus, OH, USA"
21,4,"Janna R. Willoughby","Auburn University","Auburn, AL, USA"
22,1,"Ederéwoma Ohwobete","St. Edwards University","Austin, TX, USA"
22,2,"Darren Proppe","St. Edwards University","Austin, TX, USA"
23,1,"Kaitlyn Restivo","Texas A&M University","College Station, TX, USA"
23,2,"Dr. Sanford Smith","Penn State University","University Park, PA, USA"
23,3,"Dr. Gary Briers","Texas A&M University","College Station, TX, USA"
23,4,"Dr. Maureen Frank","Texas A&M University","College Station, TX, USA"
24,1,"Darren Proppe","St. Edward's University","Austin, TX, USA"
25,1,"Teresa Kenny","Texas A&M University","College Station, TX, USA"
26,1,"Drake Rangel","Texas A&M University-Kingsville","Kingsville, TX, USA"
26,2,"Christin Moeller","Texas A&M University-Kingsville","Kingsville, TX, USA"
26,3,"Luke Willard","Texas A&M University-Kingsville","Kingsville, TX, USA"
26,4,"Scott E. Henke","Texas A&M University-Kingsville","Kingsville, TX, USA"
26,5,"Cord B. Eversole","Texas A&M International University","Laredo, TX, USA"
26,6,"Ruby Ayala","Texas A&M International University","Laredo, TX, USA"
27,1,"Toby J. Hibbitts","Texas A&M University","College Station, Texas, United States"
27,2,"Danielle K. Walkup","Texas A&M University","College Station, TX, USA"
27,3,"Price Brown","Texas A&M University","College Station, TX, USA"
27,4,"Wade Ryberg","Texas A&M University","College Station, TX, USA"
28,1,"Danielle K. Walkup","Natural Resource Institute, Texas A&M University","College Station, TX, USA"
28,2,"Bret A. Collier","School of Renewable Natural Resources, Louisiana State University","Baton Rouge, LA, USA"
28,3,"Kevin L. Skow","Natural Resource Institute, Texas A&M University","College Station, TX, USA"
28,4,"Wade A. Ryberg","Natural Resource Institute, Texas A&M University","College Station, Texas, United States"
28,5,"Toby J. Hibbitts",NA,"Natural Resource Institute, Biodiversity Research and Teaching Collections, Department of"
28,6,"Ecology and Conservation Biology","Texas A&M University","College Station, TX, USA"
28,7,"Lee A. Fitzgerald",NA,"Biodiversity Research and Teaching Collections, Department of Ecology and Conservation"
28,8,"Biology","Texas A&M University","College Station, TX, USA"
28,9,"Roel R. Lopez","Natural Resource Institute","Department of Rangeland, Wildlife and Fisheries Management, "
28,10,"Texas A&M University",NA,"College Station, TX, USA"
30,1,"Drake Rangel","Texas A&M University-Kingsville","Kingsville, TX, USA"
30,2,"Christin Moeller","Texas A&M University-Kingsville","Kingsville, TX, USA"
30,3,"Luke Willard","Texas A&M University-Kingsville","Kingsville, TX, USA"
30,4,"Scott E. Henke","Texas A&M University-Kingsville","Kingsville, TX, USA"
30,5,"Cord B. Eversole","Texas A&M International University","Laredo, TX, USA"
30,6,"Ruby Ayala","Texas A&M International University","Laredo, TX, USA"
31,1,"Jon Purvis","Texas Parks and Wildlife Department","Austin, Texas, United States"
31,2,"Robert Perez","Texas Parks and Wildlife Department","Pleasanton, TX, USA"
32,1,"Donal A. Woodard","East Foundation","Hebbronville, TX, USA"
32,2,"Leonard Brennan","Caesar Kleberg Wildlife Research Institute","Texas A&M University – Kingsville, Kingsville, "
32,3,"TX",NA,"USA"
32,4,"Fidel Hernández","Caesar Kleberg Wildlife Research Institute","Texas A&M University – Kingsville, Kingsville, "
32,5,"TX",NA,"USA"
32,6,"Humberto Perotto-Baldivieso",NA,"Caesar Kleberg Wildlife Research Institute, Texas A&M University –"
32,7,"Kingsville",NA,"Kingsville, TX, USA"
32,8,"Neal Wilkins","East Foundation","San Antonio, TX, USA"
32,9,"Andrea Montalvo","East Foundation","Hebbronville, TX, USA"
33,1,"Kristyn G. Stewart","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
33,2,"TX",NA,"USA"
33,3,"Fidel Hernández","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
33,4,"TX",NA,"USA"
33,5,"Alejandra Olivera-Mendez",NA,"Colegio de Postgraduados, San Luis Potosí, Mexico"
33,6,"Jon S. Horne","Idaho Department of Fish and Game","Boise, ID, USA"
33,7,"Sabrina H. Szeto",NA,"Sabrina Szeto Consulting, Isen, Germany"
33,8,"Angela M. Guerrero","Stockholm Resilience Centre","Stockholm University, Stockholm, Sweden"
33,9,"John W. McLaughlin","Texas Parks and Wildlife Department","Lubbock, TX, USA"
34,1,"Sophie A. Morris","Department of Natural Resources, Texas Tech University","Lubbock, TX, USA"
34,2,"Clint W. Boal","U.S Geological Survey, Texas Cooperative Fish and Wildlife Research Unit","Lubbock, TX, USA"
34,3,"David A. Haukos","U.S. Geological Survey","Kansas Cooperative Fish and Wildlife Research Unit, Manhattan, "
34,4,"KS",NA,"USA"
34,5,"Blake A. Grisham","Department of Natural Resources, Texas Tech University","Lubbock, TX, USA"
35,1,"Emily A. Wright","Texas Tech University","Lubbock, TX, USA"
35,2,"Rachael C. Wiedmeier","Texas Tech University","Lubbock, TX, USA"
35,3,"Emma K. Roberts","Texas Tech University","Lubbock, TX, USA"
35,4,"Froylan Hernandez","Texas Parks and Wildlife Department","Alpine, TX, USA"
35,5,"Warren C. Conway","Texas Tech University","Lubbock, TX, USA"
35,6,"Robert D. Bradley","Texas Tech University","Lubbock, TX, USA"
36,1,"Sarah R. Fritts","Texas State University","San Marcos, TX, USA"
36,2,"Brittany Stamps","Texas State University","San Marcos, TX, USA"
36,3,"Emma Guest","Texas State University","San Marcos, TX, USA"
36,4,"Cris Hein","National Renewable Energy Laboratory","Golden, CO, USA"
36,5,"Amanda Hale","Texas Christian University","Fort Worth, TX, USA"
36,6,"Brogan Morton","Wildlife Imaging Systems","Hinesburg, VT, USA"
36,7,"Sara Weaver","Bowman","San Marcos, TX, USA"
37,1,"Kylie F. Perez","Texas A&M University","College Station, TX, USA"
38,1,"Natalie M. Hamilton","Texas A&M University","College Station, TX, USA"
39,1,"Olivia C. Gray","Borderlands Research Institute, Sul Ross State University","Alpine, TX, USA"
39,2,"Justin T. French","Borderlands Research Institute, Sul Ross State University","Alpine, TX, USA"
39,3,"Carlos E. Gonzalez","Borderlands Research Institute, Sul Ross State University","Alpine, TX, USA"
39,4,"Louis A. Harveson","Borderlands Research Institute, Sul Ross State University","Alpine, TX, USA"
39,5,"Froylan Hernandez","Texas Parks and Wildlife Department","Alpine, TX, USA"
39,6,"Shawn Gray","Texas Parks and Wildlife Department","Alpine, TX, USA"
40,1,"Lee Harris Williamson","Texas Parks and Wildlife","Hunt, TX, USA"
40,2,"Justin Foster","Texas Parks and Wildlife","Hunt, TX, USA"
40,3,"John Kinsey","Texas Parks and Wildlife","Hunt, TX, USA"
40,4,"Nathan Snow","National Wildlife Research Center","Fort Collins, CO, USA"
41,1,"Samantha J. Leivers","Texas A&M University","College Station, TX, USA"
41,2,"Keith M. Carlisle","Texas A&M University","College Station, TX, USA"
41,3,"Rachel L. Connally","Texas A&M University","College Station, TX, USA"
41,4,"Maureen G. Frank","Texas A&M University","College Station, TX, USA"
41,5,"John M. Tomecek","Texas A&M University","College Station, TX, USA"
42,1,"Ashley C. Wahlberg","Stephen F. Austin State University","Nacogdoches, TX, USA"
42,2,"Reuber Antoniazzi","Stephen F. Austin State University","Nacogdoches, TX, USA"
42,3,"Christopher M. Schalk","U.S. Forest Service, Southern Research Station","Nacogdoches, TX, USA"
43,1,"Matthew J. Buchholz","Texas Tech University","Lubbock, TX, USA"
43,2,"Emily A. Wright","Texas Tech University","Lubbock, TX, USA"
43,3,"Blake A. Grisham","Texas Tech University","Lubbock, TX, USA"
43,4,"Robert D. Bradley","Texas Tech University","Lubbock, TX, USA"
43,5,"Thomas L. Arsuffi","Texas Tech University -Junction","Junction, TX, USA"
43,6,"Warren C. Conway","Texas Tech University","Lubbock, TX, USA"
45,1,"Connor S. Adams","Stephen F. Austin State University","Nacogdoches, TX, USA"
45,2,"Paul Crump","Texas Parks and Wildlife","Austin, TX, USA"
45,3,"Christopher M. Schalk","Stephen F. Austin State University","Nacogdoches, TX, USA"
46,1,"Jessica M. Heckman","West Texas A&M University","Canyon, TX, USA"
46,2,"Peter A. Scott","West Texas A&M University","Canyon, TX, USA"
46,3,"Richard T. Kazmaier","West Texas A&M University","Canyon, TX, USA"
47,1,"Tatiana Joaqui","Stephen F. Austin State University","Nacogdoches, TX, USA"
47,2,"Daniel Saenz","U.S. Forest Service, Southern Research Station","Nacogdoches, TX, USA"
47,3,"Cory Adams","U.S. Forest Service, Southern Research Station","Nacogdoches, TX, USA"
47,4,"Toby Hibbitts",NA,"Biodiversity Research and Teaching Collection, Department of Ecology and Conservation"
47,5,"Biology","Texas A&M University","Nacogdoches, TX, USA"
47,6,"Christopher Schalk","Stephen F. Austin State University","Nacogdoches, TX, USA"
48,1,"Veda Allen","Stephen F. Austin State University","Nacogdoches, TX, USA"
48,2,"Daniel Saenz","US Forest Service","Nacogdoches, TX, USA"
48,3,"Christopher Schalk","Stephen F. Austin State University","Nacogdoches, TX, USA"
49,1,"Jeremy A. Baumgardt",NA,"Caesar Kleberg Wildlife Research Institute, Texas A&M University - Kingsville, "
49,2,"Kingsville",NA,"TX, USA"
49,3,"Ashley G. Hodge","Caesar Kleberg Wildlife Research Institute","Texas A&M University - Kingsville, Kingsville, "
49,4,"TX",NA,"USA"
49,5,"Randy W. DeYoung",NA,"Caesar Kleberg Wildlife Research Institute, Texas A&M University - Kingsville, "
49,6,"Kingsville",NA,"TX, USA"
49,7,"J. Alfonso Ortega-S","Caesar Kleberg Wildlife Research Institute","Texas A&M University - Kingsville, Kingsville, "
49,8,"TX",NA,"USA"
49,9,"David G. Hewitt","Caesar Kleberg Wildlife Research Institute","Texas A&M University - Kingsville, Kingsville, "
49,10,"TX",NA,"USA"
49,11,"John A. Goolsby","USDA Agricultural Research Service","Cattle Fever Tick Research Laboratory, EDINBURG, "
49,12,"TX",NA,"USA"
49,13,"Kimberly H. Lohmeyer",NA,"USDA Agricultural Research Service, Knipling-Bushland U.S. Livestock Insects"
49,14,"Research Laboratory and Veterinary Pest Genomics Center",NA,"Kerville, TX, USA"
51,1,"Angela M. Grogan","Texas Tech University","Lubbock, TX, USA"
51,2,"Emily A. Wright","Texas Tech University","Lubbock, TX, USA"
51,3,"Matthew J. Buchholz","Texas Tech University","Lubbock, TX, USA"
51,4,"Courtney L. Ramsey","Texas Tech University","Lubbock, TX, USA"
51,5,"Robert D. Bradley","Texas Tech University","Lubbock, TX, USA"
51,6,"Warren C. Conway","Texas Tech University","Lubbock, Texas, United States"
52,1,"Ashley G. Hodge","Texas A&M University-Kingsville","Kingsville, Texas, United States"
52,2,"Jeremy A. Baumgardt","Texas A&M University-Kingsville","Kingsville, TX, USA"
52,3,"Randy W. DeYoung","Texas A&M University-Kingsville","Kingsville, TX, USA"
52,4,"Michael J. Cherry","Texas A&M University-Kingsville","Kingsville, Texas, United States"
52,5,"Aaron M. Foley","Texas A&M University-Kingsville","Kingsville, TX, USA"
52,6,"David G. Hewitt","Texas A&M University-Kingsville","Kingsville, TX, USA"
52,7,"John A. Goolsby","U.S. Department of Agriculture - Agricultural Research Service","Kerrville, TX, USA"
52,8,"Kim H. Lohmeyer","U.S. Department of Agriculture - Agricultural Research Service","Kerrville, TX, USA"
53,1,"Rachael C. Wiedmeier","Texas Tech University","Lubbock, TX, USA"
53,2,"Emily A. Wright","Texas Tech University","Lubbock, TX, USA"
53,3,"Bob Dittmar","Texas Parks and Wildlife Department","Austin, TX, USA"
53,4,"Robert D. Bradley","Texas Tech University","Lubbock, TX, USA"
53,5,"Warren C. Conway","Texas Tech University","Lubbock, TX, USA"
53,6,"Caleb D. Phillips","Texas Tech University","Lubbock, TX, USA"
54,1,"Thomas J. Yamashita","Texas A&M University-Kingsville","Kingsville, TX, USA"
54,2,"Humberto L. Perotto-Baldivieso","Texas A&M University-Kingsville","Kingsville, TX, USA"
54,3,"Zachary M. Wardle","Texas A&M University-Kingsville","Kingsville, Texas, United States"
54,4,"Richard J. Kline","University of Texas Rio Grande Valley","Port Isabel, TX, USA"
54,5,"Michael E. Tewes","Texas A&M University-Kingsville","Kingsville, TX, USA"
54,6,"John H. Young","Texas Department of Transportation","Austin, Texas, United States"
54,7,"Jason V. Lombardi","Texas A&M University-Kingsville","Kingsville, TX, USA"
55,1,"Jason V. Lombardi","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
55,2,"Texas",NA,"United States"
55,3,"C. Jane Anderson","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
55,4,"TX",NA,"USA"
55,5,"David B. Wester","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
55,6,"Texas",NA,"United States"
55,7,"Shelby B. Carter","Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville","Kingsville, TX, "
55,8,"USA",NA,NA
55,9,"AnnMarie Blackburn",NA,"Caesar Kleberg Wildlife Research Institute, Texas A&M University-Kingsville, "
55,10,"Kingsville",NA,"Texas, United States"
55,11,"Amanda M. Veals","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
55,12,"TX",NA,"USA"
55,13,"Humberto L. Perotto-Baldivieso",NA,"Caesar Kleberg Wildlife Research Institute, Texas A&M University-"
55,14,"Kingsville",NA,"Kingsville, Texas, United States"
55,15,"Landon Schofield","East Foundation","San Antonio, TX, USA"
55,16,"John H. Young","Division of Environmental Affairs, Texas Department of Transportation","Austin, TX, USA"
55,17,"Michael E. Tewes","Caesar Kleberg Wildlife Research Institute","Texas A&M University-Kingsville, Kingsville, "
55,18,"TX",NA,"USA"
56,1,"Ian A. Mack","Tarleton State University","STEPHENVILLE, TX, USA"
56,2,"Thomas W. Schwertner","Tarleton State University","STEPHENVILLE, TX, USA"
56,3,"Hemanta Kafley","Tarleton State University","STEPHENVILLE, TX, USA"
