,talk_id,title,abstract,type,session
1,1,From eradication to conservation: Identifying areas for restoration and,"By 1985, an estimated 400,000 square kilometers of shinnery oak (Quercus havardii) had been eliminated or degraded for agricultural purposes across its historic distribution. More recently, this clonal shrub has received increased conservation attention for its role as a keystone species in the southwestern United States. These trends, combined with challenges in propagation and establishment, indicate a need for targeted conservation and restoration efforts. Future climate models predict the Southern Great Plains will become one of the most climateimpacted ecoregions in North America, highlighting a need to understand the challenges dynamic climate conditions present for restoration efforts. Our objective was to identify areas for shinnery oak management and explore the role of climate in determining these areas when considering topoedaphic relationships. We constructed ecological niche models using MaxEnt to model potential shinnery oak distribution under current climate conditions and temporally transferred our model using global climate model scenarios to identify areas predicted to retain suitability through 2100. The current distribution model informed by environmental and topoedaphic variables performed well (AUC = 0.81) and indicated soil type as the primary influence on distribution. The second distribution model, built excluding topoedaphic variables to serve as the basis for estimating future plant-climate relationships, performed well (AUC =0.85), and identified increasing precipitation as snow as the leading constraint on environmental suitability. Future projections show stability of a core distribution located in north Texas and southwest Oklahoma. Our findings provide geographical context for implementation of conservation practices mindful of the uncertainty of future climatic conditions.",oral,NA
2,2,Quantifying population trends and habitat for the chestnut-bellied scaled quail in,"Chestnut-bellied scaled quail (Callipepla squamata castanogastris; hereafter ‘scaled quail’) is an upland game bird that has experienced declines in abundance across its geographic distribution. Declines in the South Texas Plains were not as strong as in other regions until the 2000’s. Proposed hypotheses for the declines of scaled quail suggest rangeland deterioration and changes in land use. Major drivers of land use change in the region are oil/gas, urban development, and brush management practices that has altered vegetation landscape structure and composition. Our goal was to develop the baseline for a framework to identify conservation and management priorities for scaled quail habitat in the South Texas Plains. We first identified and quantified spatial trends in scaled quail abundance through population indices in the region. Our study area was in the South Texas Plains ecoregion with a focus on four counties: Jim Hogg, Starr, Zapata, and Webb. We used the Rangeland Analysis Platform (RAP) to evaluate changes in percent functional cover of vegetation categories between 1986 and 2020. Scaled quail numbers/route have decreased from 16 birds/route in the late 1970s to ~3 birds/route since 2011, an overall decline of over 80%. Data from the RAP shows percent tree cover has increased in all four counties. Field data confirmed that tree cover is linked to honey mesquite (Prosopis glandulosa) and the presence of invasive herbaceous species in the understory vegetation community. These factors suggest negative correlates of scaled quail habitat that potentially could decrease habitat connectivity.",oral,NA
3,3,Effectiveness of Camera Traps and Infrared Trip Wire Position in Capturing,"Wildlife guards (WG) and wildlife crossing structures (WCS) have been installed on State Highway (SH) 100 and farm-to-market (FM) 106 to mitigate ocelot (Leopardus pardalis) mortalities in Cameron County, Texas. These structures have been monitored for mesocarnivores using camera traps as a non-invasive form of data collection. Camera traps are traditionally used for capturing medium to large mammals and few studies have assessed their success for monitoring smaller species. Our objective was to determine if a ground level infrared trip wire height at WCS and WG would capture small mammals and herpetofauna that may be missed by the standard infrared trip wire height set for mesocarnivores. We hypothesized that the ground level trip wire position would capture fewer medium-sized species and a greater number of small mammals and herpetofauna compared to the standard trip wire height. Reconyx HyperFire 2 cameras connected to external infrared trip wire systems were installed at two heights (standard and ground) on five WCS on FM 106 and five WG on SH 100. PERMANOVA identified differences in the species assemblages observed based on trip height at WCS (PWCS ≤ 0.001) but not at WG (PWG = 0.321). SIMPER analyses determined that rodents, birds, amphibians, and opossums were leading the dissimilarity between trip heights at WCS. A lower external infrared trip height would be beneficial to managers assessing WCS use by state or federally threatened rodents and herpetofauna, while not sacrificing monitoring efforts of mesocarnivores, such as the ocelot.",oral,NA
4,4,Assessment of Non-breeding Bird Community Responses to Semi-arid Grassland,"Woody plant encroachment in Chihuahuan Desert grasslands degrades and changes suitable habitat into desert shrublands, contributing to the decline of grassland bird populations. We initiated this study to evaluate how non-breeding grassland birds respond to habitat restoration efforts, via herbicide treatments, in the Trans-Pecos region of Texas. We conducted bird and vegetation surveys on 3 ranches during the winters of 2019-2022. One of these properties was partially treated with a foliar herbicide in the fall of 2019 to control intrusive woody plants. We utilized a principal coordinate analysis to visualize patterns in non-breeding bird communities within and among grassland, untreated shrubland, and herbicide-treated shrubland habitats. We also related measured vegetation characteristics to variation within the bird abundance data through this analysis. Additionally, we ran a canonical analysis of principal coordinates to assess the distinctness of bird communities between the 3 habitat types. We found that non-breeding bird communities in the Trans-Pecos are largely shaped by shrub cover and shrub height: r = 0.697, p < 0.001 and r = 0.611, p < 0.001, respectively. We also found that bird community composition in treated shrubland habitat was distinct from the communities observed in grassland and untreated shrubland habitats. Herbicide can be a valuable tool for restoring semi-arid grassland habitat for some grassland-obligate species. By identifying the habitat characteristics that primarily influence non-breeding bird community composition, biologists can develop effective management strategies and set achievable conservation goals that benefit grassland bird species of concern.",oral,NA
5,5,White-tailed Deer and Cattle Grazing – Nutritional Consequences for Deer,"Understanding the interactive effects of competition and environmental conditions on white-tailed deer (Odocoileus virginianus) nutrition is important for monitoring population performance. It is suspected the competition between cattle (Bos taurus) and deer can reduce nutritional condition of deer, however environmental conditions may mediate this effect. We examined this interaction by linking metrics of nutritional condition (body mass, rump fat, antler scores) and reproduction (lactation status) of 475 male and 609 female white-tailed deer to cattle stocking rates and environmental conditions (percentage of sand in the soil, rainfall, herbaceous biomass, and brush cover). Deer were captured during October–November from 2017–2021 across four South Texas ranches. We fitted generalized linear mixed models to estimate the interactive effects of stocking rates and environmental conditions on white-tailed deer nutritional and reproductive metrics. Cattle stocking rates ranged between 0–0.2352 AU/ha/year. Stocking rates did not influence lactation status or body mass of males or females. Antler size decreased 1.67 cm for every 0.01 AU/ha/year increase in cattle stocking rates (β = -0.057; 85% CI: -0.111 to -0.001). Male rump fat also decreased with stocking rates, but the effect was influenced by environmental conditions; during dry years and in sandier soils, male deer had little rump fat regardless of stocking rates. These results indicate a sex-specific response in the nutritional consequence of white-tailed deer–cattle competition, as only male white-tailed deer nutritional metrics were negatively affected by cattle stocking rates, while female condition was largely driven by reproductive condition.",oral,NA
6,6,Strategic Communication to Increase Willingness to Engage in ESC,"In the United States, landowner support for endangered species conservation (ESC) initiatives, such as Voluntary Incentive Programs (VIPs) determines their effectuality because private landowners own significant proportions of endangered species habitat. Problematically, landowner collaboration with bureaucratically driven ESC can be hindered by insufficient levels of human and social capital. Deficiencies in critical stewardship resources can produce break downs in communication between landowners and governing ESC institutions. This communicative gap has yet to be bridged by satisfactory investigations of how to communicate with landowners about ESC on private lands. We addressed this need with a quasi-experiment to uncover the impact of different messages on landowner attitudes and behavioral intention towards VIPs. We conducted a survey of landowners in east-central Texas to elicit their views of a VIP for the endangered Houston toad. Results from 956 landowners indicate that messages aligning with landowners’ values were associated with statistically significant and positive changes in ESC intention and attitudes. Moreover, results suggest that regardless of the experimental message received, information about the VIP is associated with positive changes in attitude and intention. These results highlight the need for governing ESC agencies to a.) strategically communicate VIP details and opportunities to landowners, and b.) tailor ESC messages to communicate ideological alignment with landowners to reach them at larger scales. Accomplishing these tasks can improve ESC outcomes at large scales and prove to be an irreplaceable, relational tool for collaborative ESC. Abstracts: General Sessions Conservation & Ecology of Birds 1",oral,NA
7,7,Evaluating the Viability of Translocating Northern Bobwhite as a means of,"Northern bobwhite (Colinus virginianus) have experienced population reductions throughout their historic range over the past half-century according to multiple indices of abundance. This decline is often attributed in part to reductions in contiguous bobwhite habitat. To overcome the barriers of local dispersal caused by habitat fragmentation, managers often use translocation from areas of greater bobwhite abundance. Our purpose was to evaluate the survival, reproductive success, and dispersal patterns of wild translocated bobwhites on Gus Engeling Wildlife Management Area (GEWMA) to determine if re-establishment was possible. In the spring of 2021, a total of 75 bobwhite were translocated from South Texas to GEWMA, 43 of which had radio transmitters. Median spring-summer survival for translocated bobwhite was .77 (n = 43). We discovered 5 nests created by 4 different radio-collared females during the summer of 2021. Three of the nests were destroyed by either wild pigs or snakes, one nest was successfully hatched while the remaining nest was censored at the end of the study period. We also studied spatial covariates that influenced survival based on daily triangulation data. Sitefidelity was moderately high, however, 12 bobwhite were censored from the study due to either collar failure or detection failure caused by distance moved. During the summer of 2022, bobwhite cocks were heard on GEWMA, and coveys were flushed near the release site demonstrating the relative success of re-establishment. Future translocation projects should consider increasing survival of bobwhite during the first few weeks following translocation by utilizing soft-release methods or supplemental nutrition stations.",oral,NA
8,8,"Population and Habitat Assessment of the California, Mountain, and Gambel's Quail","California has three species of quails: California quail (Callipepla californica), mountain quail (Oreortyx pictus), and Gambel’s quail (Callipepla gambelii). The human population in the state increased by more than 97% during the past half-century, leading to potential habitat loss for these species due to urban development, large-scale agriculture, and altered forest and rangeland management. We estimated the long-term population trends for quail species in California and quantified the effect of changes in land use and land cover to localized subpopulations. We used number of birds per route from the North American Breeding Bird Survey and interpolation in ArcGIS to create five-year rolling average abundance maps. We established random points and extracted number of birds detected from 1970 to 2017. We identified areas within the state that had declining, stable, and increasing quail abundances and compared road density, human population density, land use, and land cover. On the state-wide scale, populations of all 3 quails have remained stable over the past 50 years. Locally, sites where California quail populations declined had 64% higher road densities, 129% higher human population densities, and 93% less bare ground than sites where they were increasing. Where mountain quail were declining, irrigated land cover was higher by 154% but road density was 50% lower than where they were increasing. Increasing Gambel’s quail populations had lower human population density, road density, and percent bare ground cover. Our results indicate these species can persist in a human-dominated landscape if sufficient habitat is available.",oral,NA
9,9,Influence of Rainfall and Vegetation Color on Northern Bobwhite Reproduction,"Quail populations in semiarid environments experience drastic fluctuations, which are strongly influenced by rainfall. Despite decades of research, the mechanisms driving this relationship are unknown. While past research has focused on the materialized effects of rainfall, we propose that rainfall itself, or closely associated factors, influence population dynamics by serving as reproductive cues. Rainfall events and-or vegetation color may provide supplemental information that stimulates quail reproduction in semiarid environments. Our study evaluates (1) vegetation color and (2) rainfall itself as reproductive cues for northern bobwhite (Colinus virginianus) in semiarid rangelands. During April–August 2022, we housed northern bobwhite hens (n = 20 hens) in outdoor aviary cages that were assigned 1 of 4 vegetation color treatments: brown, green, switch, control (n = 5 hens/treatment). We collected blood every 2 weeks to measure changes in reproductive hormones and checked for eggs daily. We also recorded calling rate before and during rainfall to assess bobwhite behavior in response to rainfall. Although egglaying rate was numerically higher in the green and switch treatment throughout the experiment, egg-laying rate did not differ statistically among treatments (P > 0.05). However, calling rate approximately doubled from before rainfall to during rainfall. We will experimentally evaluate the influence of rainfall during April–August 2023.",oral,NA
10,10,Distributional Responses of Northern Bobwhites to Hunting Pressure in South Texas,"Habitat selection and the localized distributions of northern bobwhites (Colinus virginianus) are heavily influenced by the availability of usable space. However, the influence of harvest and associated hunting pressures on the selection of usable space is unknown. We analyzed the relationships between spatial aspects of bobwhite hunting variables among the changes in bobwhite distributions at 16-ha resolution during the hunting seasons in 2018-2019, 2019-2020, and 2020-2021. We calculated changes in bobwhite distributions using multitemporal density surface models from line transect distance sampling surveys and collected spatial attributes of hunting variables (i.e., harvest, hunts, gunshots) using GPS units on dogs and hunting vehicles. The annual harvest was 20% of the November bobwhite density estimate, with total gun hours ranging from 5.3-gun hours/100-ha to 8.3-gun hours/100-ha. We found that changes in bobwhite densities across hunting seasons were primarily influenced by year, indicating that bobwhite hunting pressures at low intensities have minimal influence on changes in bobwhite densities and distributions during the course of a hunting season. Coincidently, we found a significant negative relationship (r) between localized bobwhite density and each hunting parameter during the peak hunting period (i.e., mid-December to late January). We assume this relationship indicates that hunting pressure and harvest parameters at higher intensities will have a stronger influence on bobwhite distributional response.",oral,NA
