talk_id,author,institution,location
1,Katie Pennartz,Texas A&M University – Kingsville,"Kingsville, TX, USA"
1,Evan Tanner,"Caesar Kleberg Wildlife Research Institute, Kingsville, TX, USA J. Matthew Carrol, Murray State University, Murray, KY, USA R. Dwayne Elmore, Oklahoma State University","Stillwater, OK, USA"
1,Craig Davis,Oklahoma State University,"Stillwater, OK, USA"
1,Sam Fuhlendorf,Oklahoma State University,"Stillwater, OK, USA"
2,Dakota Moberg,"Caesar Kleberg Wildlife Research Institute, TAMUK","Kingsville, TX, USA"
2,Lori Massey,CKWRI-TAMUK,"Buffalo, TX, USA"
2,Humberto Perotto,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
2,Evan Tanner,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
2,Leonard Brennan,NA,"Kingsville, TX, USA"
2,Jesús Franco,NA,"McAllen, TX, USA"
3,Madison Nadler,University of Texas Rio Grande Valley,"Brownsville, TX, USA"
3,Kevin Ryer,University of Texas Rio Grande Valley,"Brownsville, TX, USA"
3,John Young,Texas Department Transportation,"Austin, TX, USA"
3,Richard Kline,UTRGV,"Brownsville, TX, USA"
4,Emily Card,Borderlands Research Institute,"Athens, GA, USA"
4,Mieke Titulaer,Borderlands Research Institute,"Chihuahua, TX, MEX"
4,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
4,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
4,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
5,Bryan Spencer,Caesar Kleberg Wildlife Research Institute - Texas A&M University Kingsville,"Kingsville, TX, USA"
5,Miranda Hopper,TAMUK-CKWRI,"Kingsville, TX, USA"
5,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
5,Aaron Foley,CKWRI-TAMUK,"Kingsville, TX, USA"
5,David Hewitt,Caesar Kleberg Wildlife Research Institute / Texas A&M University Kingsville,"Kingsville, TX, USA"
5, J. Alfonso Ortega,CKWRI-TAMUK,"Kingsville, TX, USA"
5,Landon Schofield,East Foundation,"Kingsville, TX, USA"
5,Tyler Campbell,East Foundation,"San Antonio, TX, USA"
5,Michael Cherry,CKWRI,"Kingsville, TX, USA"
6,Jared Messick,Texas State University,"San Marcos, TX, USA"
6,Christopher Serenari,Texas State University,"San Marcos, TX, USA"
6,Floyd Weckerly,Texas State University - San Marcos,"San Marcos, TX, USA"
6,Kristy Daniel,Texas State University,"San Marcos, TX, USA"
6,Paul Crump,Texas Parks and Wildlife Department,"Austin, TX, USA"
6,Elena Rubino,University of Arkansas at Monticello,"Monticello, AK, USA"
7,Jared Schlottman,Texas A&M Natural Resource Institute,"College Station, TX, USA"
7,Roel Lopez,NA,"San Antonio, TX, USA"
7,Jim Cathey,NRI and RWFM,"College Station, TX, USA"
8,Sarah Jacobson,Caesar Kleberg Wildlife Research Institute - Texas A&M University Kingsville,"Kingsville, TX, USA"
8,Leonard Brennan,NA,"Kingsville, TX, USA"
8,Humberto Perotto,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
8,Evan Tanner,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
8,Katherine Miller,California Department of Fish and Wildlife,"West Sacramento, CA, USA"
9,Lindsey Howard,Texas A&M Kingsville - Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
9,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
9,Clayton Hilton,Texas A&M University-Kingsville,"Kingsville, TX, USA"
9,David Hewitt,Caesar Kleberg Wildlife Research Institute / Texas A&M University Kingsville,"Kingsville, TX, USA"
9,David Wester,NA,"Kingsville, TX, USA"
10,Abe Woodard,East Foundation,"Sarita, TX, USA"
10,Leonard Brennan,NA,"Kingsville, TX, USA"
10,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
10,Humberto Perotto,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
10,Neal Wilkins,East Foundation,"San Antonio, TX, USA"
10,Andrea Montalvo,East Foundation,"Hebbronville, TX, USA"
11,Brooke Bowman,Borderlands Research Institute/Graduate Research Assistant/Texas Chapter,"Alpine, TX, USA"
11,Ryan Luna,Sul Ross State University,"Alpine, TX, USA"
11,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
11,Evan Tanner,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
12,Kristyn Stewart,CKWRI-TAMUK,"Sinton, TX, USA"
12,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
12,Sabrina Szeto,"Consulting, Isen",GER
12,Alejandra Olivera-Mendez,"Colegio de Postgraduados, San Luis Potosi, Salinas de Hidalgo","San Luis Potosi, MEX"
12,Jon Horne,Idaho Department of Fish and Game,"Boise, USA"
12,Angela Guerrero,Queensland University of Technology,"Brisbane, AUS"
12,John McLaughlin,NA,"Lubbock, TX, USA"
13,Anna Mehner,University of Texas Rio Grande Valley,"Port Isabel, TX, USA"
13,John Young,Texas Department Transportation,"Austin, TX, USA"
13,Richard Kline,UTRGV,"Brownsville, TX, USA"
14,Ty Werdel,Texas A&M University,"College Station, TX, USA"
14,Colleen Piper,University of Montana,"Missoula, MT, USA"
14,Andrew Ricketts,Kansas State University,"Manhattan, KS, USA"
14,Matthew Peek,Kansas Department of Wildlife and Parks,"Emporia, KS, USA"
14,Dan Sullins,Kansas State University,"Manhattan, KS, USA"
14,Adam Ahlers,Kansas State University,"Manhattan, KS, USA"
15,Tiffany Nash,Tarleton State University,"Stephenville, TX, USA"
15,Jeff Brady,Texas A&M AgriLife Research,"Stephenville, TX, USA"
15,Devin Erxleben,Texas Parks and Wildlife Department,"Stephenville, TX, USA"
15,Doreen Mata,Tarleton State University,"Stephenville, TX, USA"
15,Heather Mathewson,Tarleton State University,"Stephenville, TX, USA"
15,Thomas Schwertner,NA,"Stephenville, TX, USA"
16,Danielle Deming,Texas Tech University,"Lubbock, TX, USA"
16,Warren Conway,Texas Tech University,"Shallowater, TX, USA"
16,Brian Henen,Marine Corps Air Ground Combat Center,"Twentynine Palms, CA, USA"
16,Robert Bradley,Texas Tech University,"Lubbock, TX, USA"
16,Emily Wright,NA,"Lubbock, TX, USA"
16,Courtney Ramsey,Texas Tech University,"Lubbock, TX, USA"
17,Derek Malone,Texas Tech University,"Lubbock, TX, USA"
17,Clint Boal,"US Geological Survey, Texas Cooperative Fish and Wildlife Research Unit","Lubbock, TX, USA"
17,Russell Martin,Texas Parks and Wildlife Department,"Canyon, TX, USA"
17,Richard Stevens,Texas Tech University,"Lubbock, TX, USA"
17,Carlos Villalobos,Texas Tech University,"Lubbock, TX, USA"
18,Samantha Leivers,Texas A&M University,"Round Rock, TX, USA"
18,Tyler Campbell,East Foundation,"San Antonio, TX, USA"
18,Michael Bodenchuk,USDA/APHIS,"San Antonio, TX, USA"
18,John Tomecek,Texas A&M University,"Taylor, TX, USA"
19,Maya Ressler,Borderlands Research Institute - Sul Ross State University,"Marfa, TX, USA"
19,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
19,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
19,Ryan Luna,Sul Ross State University,"Alpine, TX, USA"
20,Amanda Hale,"Western EcoSystems Technology, Inc.","Fort Worth, USA"
