talk_id,title,abstract,type,session
1,Navigating the fragmented thornscrub: using fine-scale movement data to assess disparate responses to fragmentation in a declining galliform,"Anthropogenic impacts force organisms to function in novel ways, and species must
either alter their behavior or disperse away from these pressures to persist. In South Texas,
Tamaulipan thornscrub has been subject to widespread degradation and fragmentation as a
result of brush management practices such as brush removal. The chestnut-bellied scaled quail
(Callipepla squamata castanogastris; hereafter “scaled quail”) is a declining, ground-nesting bird
that is uniquely dependent upon the Tamaulipan thornscrub. By studying the fine-scale
movement patterns of scaled quail, we may better understand how brush management
practices are affecting the functionality of Tamaulipan thornscrub. From February 2022 to
August 2023, we fit 129 scaled quail with GPS transmitters that recorded locations every four
hours at ranches in Duval and Dimmit County, Texas, USA, representing areas of declining and
stable populations, respectively. Landscape variables (i.e., road density, oil/gas development,
and vegetation structure/landcover) were included in integrated step selection functions to
examine how multiple mechanisms of brush removal influenced spatial responses of scaled
quail across spatiotemporal scales (four-hour and twelve-hour temporal grains). Across both
study sites and temporal grains, selection for thornscrub and avoidance of sandy mesquite
shrublands and grasslands was evident, though disparate responses (avoidance or selection) to
landscape variables (i.e., total core area of habitat) and anthropogenic features existed across
different spatiotemporal scales. Our results highlight the complexity of spatial responses to
thornscrub fragmentation, which are context-specific. Accounting for disparity in responses can
better inform larger connectivity models focused on managing metapopulation dynamics.",oral,Cottam Awards Competition
2,Science and Policy Behind Plans for Reintroducing Ocelots to Historic Range in Texas,"In 2021, a new collaboration was established to re-energize recovery efforts for
endangered ocelots (Leopardus pardalis pardalis) in Southern Texas. The focus was to develop
plans to reintroduce an additional ocelot population to a part of the cat’s historic, but now
unoccupied, range in Texas. To support reintroduction planning, our objectives were to identify
a reintroduction site, model ocelot reintroduction at the site, write plans for breeding and
reintroducing ocelots, and create a policy proposal for ocelot reintroduction that would address
private landowners’ concerns about expanding the range of a federally protected species. First,
we developed a geospatial habitat suitability assessment that identified a suitable reintroduction
site in South Texas based on a suite of ecological and socio-political factors. We then used
population viability analyses to build a demographic model of ocelot reintroduction at the
selected site and compare possible release strategies. We found that ocelot releases must be
implemented long-term to establish a viable population. We used information from these
scientific analyses to develop protocols for implementing the reintroduction program. Finally, we
integrated all information into a proposed Programmatic Safe Harbor Agreement that will
support ocelot recovery while also protecting the interests of private landowners whose lands
are necessary for ocelot reintroduction. Our study provides the scientific and policy framework
for plans for ocelot reintroduction. It has also shown how universities, agencies, conservation
organizations, and landowners can work together to design innovative plans for conserving
endangered species on private lands.",oral,Cottam Awards Competition
3,Comparing behaviors and demographic outcomes for extant and translocated eastern wild turkeys in east Texas and west-central Louisiana,"Abundance of eastern wild turkeys (Meleagris gallopavo silvestris) in east Texas has
been unstable at best, leading to ongoing restoration efforts. Our objective was to evaluate
behavioral decisions and subsequent demographic outcomes by comparing translocated and
extant eastern wild turkeys across east Texas and west-central Louisiana. GPS data was
collected from 222 extant adult females (nTX  = 25, nLA = 197) and 45 translocated adult
females only in east Texas. Translocated females had lower nest success (x ̄ extant = 0.14;
x ̄ translocated = 0.08), produced less nests per potential hen (x ̄ extant = 1.37; x ̄translocated =
1.13), and had worse annual survival than extant females (x ̄ extant = 0.75; x ̄ translocated = 0.65).
Extant females in Louisiana and Texas had similar nest success (x ̄ TX = 0.14; x ̄ LA = 0.14) but
varied in nests/potential female (x ̄ TX = 1.72; x ̄ LA = 1.32) and annual survival (x ̄ TX = 0.66; x ̄ LA =
0.76). Prospecting for mates and resources should be done in the first nest pre-laying period,
where we saw the biggest behavioral differences between translocated and extant females.
Range size was double (x ̄ extant = 521 ha; x ̄ translocated = 1090 ha) and the probability of
sharing space was much less likely (Probextant = 0.70; Probtranslocated = 0.54) for
translocated adult females. These pre-laying behavioral differences are due to a lack of
landscape familiarity for translocated females, which lead to direct demographic consequences
tied to finding mates, identifying resources, and avoiding predators. These behavioral
differences are likely the driving force behind the depressed demographic outcomes for
translocated eastern wild turkeys.",oral,Cottam Awards Competition
4,Influence of Traffic Volume on the Carnivore Community Composition within the Road Effect Zone,"Disturbance from vehicle noise and human activity extends into nearby habitat,
creating a road effect zone characterized by changes in the wildlife community structure and
species’ behavior. This can impact conservation efforts along roads, such as wildlife crossing
construction. To ensure that conservation efforts are effective, we must understand how
mammals use road areas. We set camera traps along a low-traffic highway on the East
Foundation’s El Sauz Ranch in Willacy County and a high-traffic highway on the Hacienda
Yturria Ranch in Kenedy County from May 2022 to April 2023. We set camera traps using a
randomized block design with transects set perpendicular to the highway. Seven camera traps
were set in each of seven transects, at 200 m intervals, starting 50 m from the highway. We
assessed how traffic volume and distance from highway affected the mammal community
composition. We detected nearly all known mammal species larger than rodents (n=24),
including all known carnivores (n=10). The mammal community showed differences in
community structure near the low-volume highway, near the high-volume highway, and far from
both highways. Community composition was more variable around the high-volume highway
than the low-volume highway. Our study provides information on how mammals use road effect
zones and how vehicle traffic impacts use. By comparing a low-traffic highway to a high-traffic
highway, we provide information to landowners and the Texas Department of Transportation
about how traffic volume could impact management practices on working lands around
highways and future conservation efforts for mammals living around roads.",oral,Cottam Awards Competition
5,Pronghorn Susceptibility to Prion Diseases Through PRNP Sequencing,"Prion diseases such as Chronic Wasting Disease (CWD) are a concern to wildlife
managers, public health officials, and the public.  Given the complexity of prion transmission,
and history of spontaneous generation of novel prion diseases, the possibility of interfamilial
transmission has become a concern. Pronghorn (Antilocapra americana) utilize similar habitat
as susceptible Cervids and occur within the endemic CWD area of Colorado and Wyoming.
However, no published literature specifically on pronghorn susceptibility to prion diseases
including CWD exists, as they have been assumed to be resistant.  In Texas, pronghorn occur
in portions of both the Texas Panhandle and the Trans-Pecos regions, which both contain
Texas Parks and Wildlife Department CWD surveillance zones.  Our goal was to sequence the
prion protein gene, PRNP, exon 3 in pronghorn from Texas and New Mexico to compare to
amino acid sequences of known susceptible Cervids and assess if pronghorn could be
susceptible to prion diseases. We amplified and sequenced PRNP from 47 individuals from
Texas (including intra-state translocated individuals) and 28 individuals from New Mexico using
standard PCR techniques. Phylogenetic analyses were utilized to compare alignment of PRNP
in pronghorn to that of known, prion disease-susceptible ruminants. Our research identified that
pronghorn have one additional octapeptide repeat, for a total of 6, rather than the 5 peptide
repeats present in Cervids. Additionally, pronghorn share similarities to Cervid genotypes
characterized by codons 95, 96, 116, 132, 225 and 226, indicating that pronghorn possess all
the amino acids correlated with greater susceptibility to prion diseases in",oral,Cottam Awards Competition
6,Nonbreeding ecology of female northern pintails and links to fitness,"The northern pintail (Anas acuta; hereafter pintail) remains below population
objectives and investigating nonbreeding ecology may untangle some uncertainties of
nonbreeding conditions influencing fitness. Our objectives were to investigate winter landscape
structure on pintail energy expenditure, and to assess the efficacy of winter wetland
management on spring migration performance. Female pintails were captured in different
wintering regions in the US and fitted with tracking devices. In objective one, we calculated daily
home ranges for each pintail during winter, calculated daily step-lengths (km), and daily Overall
Dynamic Body Acceleration (ODBA, a proxy for energy expenditure). Land-cover datasets were
reclassified into either water, development, grasslands/pasture, or cultivated grains. We
calculated several FRAGSTATS metrics. We conducted Generalized Linear Mixed Models
(GLMMs), with landscape metrics as predictors and daily ODBA and daily step-lengths the
responses. We found increasing water decreased step-lengths and increasing
grassland/pasture increased ODBA and step-lengths in pintails. In objective two, we calculated
the proportion of GPS locations on both managed and non-managed sites for each pintail. We
calculated four spring migration metrics: departure date from wintering area, number of
migratory stopovers, total migration duration, and arrival date to breeding areas. Using GLMMs,
we regressed spring migration metrics on proportional use of managed sites. Greater
proportional use on managed sites resulted in a significantly earlier departure from wintering
areas and earlier arrival on breeding areas. We show wetland management allows pintails to
arrive on breeding areas sooner and our findings are expected to help resource managers
optimally place sanctuaries within landscapes.",oral,Cottam Awards Competition
7,Evaluating Use of Rangeland Analysis Platform Data to Develop Site-Level Habitat Relationships of Northern Bobwhite,"Remotely sensed imagery has been increasing and becoming readily available for
managers to use in management. The Rangeland Analysis Platform (RAP) is a publicly
available resource that provides estimates of biomass production and percentages of cover for
various plant functional groups. The objective of our research was to evaluate the feasibility of
using RAP data to quantify habitat-relative abundance relationships for northern bobwhites
(Colinus virginianus).  We conducted quail roadside surveys on 13 sites (n = 1‒5 routes/site, n =
28 total routes) across South Texas during August‒September 2022 to estimate mean bobwhite
relative abundance (no. of bobwhite/km).  We buffered survey routes 400 m on both sides and
obtained habitat data (annual forb and grass cover, perennial forb and grass cover, bare
ground, litter cover, shrub cover, and tree cover) from RAP, and annual and seasonal
precipitation from PRISM. We used a generalized linear model to evaluate the influence of
habitat or precipitation on bobwhite relative abundance. We documented a negative response
with litter cover (pseudo r2 = 0.13) but a positive response with perennial forb and grass cover
(pseudo r2 = 0.19).  In addition, bobwhite relative abundance was positively related with annual
precipitation (pseudo r2 = 0.39).  These findings are in line with ecological expectations and
provide evidence that RAP may be a useful resource in bobwhite research and management.
Our results suggest that managers may be able to minimize bobwhite population lows during
low annual precipitation by managing for perennial forb and grass communities with low litter
cover.",oral,Conservation and Ecology of Birds 1
8,"Assessment of Scaled Quail Habitat Selection and Movement Behavior on an Active Oil and Gas Field in the Permian Basin, Texas","Oil and gas development influences wildlife through various factors across space,
species, and ecoregions. Research highlighting how oil/gas development affects the already
declining scaled quail (Callipepla squamata) populations of Texas remains understudied,
especially in the Permian Basin region. We sought to evaluate how scaled quail habitat
selection and movement behavior are affected by oil and gas development and supplemental
quail feeders in the Permian Basin of West Texas, USA. Additionally, we were interested in
habitat selection and movement behavior variation across seasons. We used integrated step
selection analysis to identify which environmental and/or anthropogenic factors affected scaled
quail habitat selection and/or movement behavior across well pad densities (0.5 pads/km2 and
5 pads/km2). We determined that monthly vegetation greenness, distance to well pads, distance
to supplemental feeders, and various movement variables significantly affect scaled quail
habitat selection and movement behavior. We then utilized principal component analyses to
discern whether differences occurred across intensities and seasons. We found that scaled
quail do not select habitat or move differently across well pad densities or seasons. However,
their niche expands considerably during the winter months of the non-breeding, covey season.
This suggests that scaled quail reduced intraspecific competition as resources decreased
through expanding their niche breadth. Furthermore, we identified the existence of diel activity
patterns in habitat selection and movement. These results suggest that wildlife managers
working with oil companies should continue to focus on land restoration efforts and consider
implementing supplemental feeding to manage scaled quail populations.",oral,Conservation and Ecology of Birds 1
9,Exploring Drought-Legacy Effects in Northern Bobwhite in Texas,"Abstract: A drought-legacy effect is a phenomenon whereby current-year responses
of an ecosystem are affected by prior-year(s) rainfall. Drought-legacy effects have been
documented in grassland ecosystems, but it is unknown whether such legacy effects also
influence wildlife dependent on these systems such as grassland-bird species. Northern
bobwhite (Colinus virginianus) populations in semiarid rangelands are strongly influenced by
rainfall. Thus, it is plausible that bobwhite populations in arid environments are subjected to
drought-legacy effects. Our objective was to quantify the relationship between bobwhite
abundance and current-year and prior-year Modified Palmer Drought Severity Index (PMDI).
Our study focused on bobwhite populations of northern Texas (Rolling Plains and Cross
Timbers and Prairies) and southern Texas (Rio Grande Plains and Gulf Prairies and Marshes).
We used a long-term dataset (1978–2022) of bobwhite relative abundance collected by Texas
Parks and Wildlife Department (TPWD) using roadside surveys and a corresponding dataset of
PMDI to analyze the influence of current- and prior-year PMDI (i.e., drought-legacy effects) on
bobwhite abundance in each region. We documented a significant interaction between current-
year and prior-year PMDI in northern Texas (P ≤ 0.0001) and southern Texas (P = 0.0014) and
thus evidence for a legacy effect. The response of bobwhites to current-year PMDI increased
significantly (P ≤ 0.05) when prior-year PMDI changed from drought (PMDI = -4) to normal
(PMDI = 0) to wet (PMDI = 4). Our findings show that a drought-legacy effect exists and
influences bobwhite abundance in northern and southern Texas.",oral,Conservation and Ecology of Birds 1
10,Influence of Rainfall on Northern Bobwhite Reproduction,"Quail populations in semiarid environments experience drastic fluctuations, which are
strongly influenced by rainfall. Despite decades of research, the mechanisms driving this
relationship are unknown. While past research has focused on the materialized effects of
rainfall, we propose that rainfall itself, or closely associated factors, influence population
dynamics by serving as reproductive cues. Rainfall may provide supplemental information that
stimulates quail reproduction in sermiarid environments. Our study evaluated rainfall itself a as
reproductive cue for northern bobwhite (Colinus virginianus) in semiarid rangelands. During
April—August 2023, we housed northern bobwhite hens (n=30 hens) in outdoor aviary cages
that were subject to ambient environmental conditions. We collected blood before and after
rainfall events to monitor changes in reproductive hormones and recorded eggs daily. We
measured reproductive hormone (i.e., luteinizing hormone, LH) concentrations in blood samples
using ELISAs and calculated egg-laying rates. We also deployed autonomous recording units at
8 sites (1 unit/site) across South Texas to monitor changes in wild bobwhite calling behavior
before, during, and after rainfall events. We used the web application BirdSong to detect wild
bobwhite calls in our bioacoustic recordings and calculated calling rates. Here we report
changes in bobwhite reproductive behavior (LH, egg laying, and calling rate) as a function of
rainfall events and discuss the implication of these findings.",oral,Conservation and Ecology of Birds 1
