talk_id,author,institution,city,state,country
150,Doug Tolleson,"Department of Rangeland, Wildlife and Fisheries Management, Texas A&M AgriLife Research, Sonora Research Station",Sonora,TX,USA
12,George Wang,East Central University,Ada,OK,USA
29,George Wang,East Central University,Ada,OK,USA
132,George Wang,East Central University,Ada,OK,USA
45,Laura de la Garza,U.S. Fish and Wildlife Service,Alamo,TX,USA
5,David Stewart,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
28,Grant Harris,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
34,David Stewart,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
47,Daniel Collins,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
49,Matthew Butler,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
50,Daniel Collins,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
105,Daniel Collins,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
106,Daniel Collins,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
131,Grant Harris,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
163,Daniel Collins,U.S. Fish and Wildlife Service,Albuquerque,NM,USA
140,Michael Stewart,"Caesar Kleberg Wildlife Research Institute, Texas A&M University - Kingsville",Alice,TX,USA
205,Michael Stewart,"Caesar Kleberg Wildlife Research Institute, Texas A&M University - Kingsville",Alice,TX,USA
69,Andres Solorio,Borderlands Research Institute- Sul Ross State University,Alpine,TX,USA
69,Lalo Gonzalez,Borderlands Research Institute- Sul Ross State University,Alpine,TX,USA
69,Justin French,Borderlands Research Institute- Sul Ross State University,Alpine,TX,USA
69,Silverio Avila,Borderlands Research Institute- Sul Ross State University,Alpine,TX,USA
69,Louis Harveson,Borderlands Research Institute- Sul Ross State University,Alpine,TX,USA
7,Elle Sutherland,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
7,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
7,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
21,Asia Cornelius,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
21,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
21,Silverio Avila,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
21,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
21,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
22,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
22,Silverio Avila,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
22,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
23,Gray Hancock,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
23,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
23,Silverio Avila,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
23,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
26,Nicole Dickan,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
26,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
26,Matt Hewitt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
26,Amanda M. Veals Dutt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
26,Louis Harveson,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
27,Matt Hewitt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
27,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
27,Amanda M. Veals Dutt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
27,Louis Harveson,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
32,Audrey Taulli,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
32,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
32,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
32,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
47,Emily Blumentritt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
47,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
47,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
61,Andrew Dotray,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
61,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
61,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
62,Hailey Barton,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
62,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
62,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
95,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
105,Emily Blumentritt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
105,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
105,Audrey Taulli,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
105,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
107,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
107,Silverio Avila,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
107,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
122,Asia Cornelius,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
122,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
122,Silverio Avila,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
122,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
122,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
141,Curtis Martin,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
141,David Tonnessen,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
141,Lalo Gonzalez,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
141,Maureen Frank,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
159,Amanda M. Veals Dutt,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
159,Justin French,"Borderlands Research Institute, Sul Ross State University",Alpine,TX,USA
