talk_id,title,abstract,type,session,year,...1
1,Distribution and Occupancy of The Alligator Snapping Turtle in Texas,"Texas contains the southwestern range edge of the alligator snapping turtle (Macrochelys temminckii). Surveys in other states at the range edge of the species, indicate overall range contraction, providing an impetus to fully understand the distribution of the species in Texas. It is protected as a threatened species in the state, but due to harvest activities, populations have declined, and it has now been proposed for federal listing as a threatened species. We sought to determine habitat covariates that affect its detectability (p) and occupancy (Ψ), as this information allows estimation of the importance of habitat characteristics to its presence. We conducted hoop trap surveys at 50 sites throughout eastern Texas, allocating 3 consecutive surveys per site to allow estimation of p and Ψ using occupancy models. These surveys confirmed the presence of M. temminckii at 61% of sites, and showed that its distribution extends farther than previously known (9 new county records). Across Texas, captured turtles exhibited an even sex ratio (P = 0.586), and we captured significantly fewer turtles from sites where trotlines were observed (P = 0.015). We developed models with predictors of p and Ψ and ranked them using AICc. The highest ranked model for p included flow velocity, trap density, air temperature, and lunar cycle, while increased forest cover was the strongest predictor of Ψ. The global model was well fit to the data (P = 0.376), providing evidence that relatively undeveloped watersheds with high forest cover are important for the species’ occurrence and conservation.",oral,Cottam Awards,2022,NA
2,Movements and Resource Selection of Wild Pigs in Relation to Crop Growth Stage,"One of the most successful invasive species is frequently implicated in wildlife-agriculture conflicts: the wild pig (Sus scrofa). Pig damage is a major source of crop loss and is expected to increase as pig populations expand, threatening the food supply and increasing economic costs of food production. An analysis of wild pig movement behaviors and seasonal resource selection would enable producers and landowners to determine how best to alleviate pig damage in an agricultural landscape. The objectives were to determine the movement responses, space use, and selection within home ranges (i.e., third order) relative to resource availability and landscape features that drive wild pig behaviors. We monitored hourly movements of adult wild pigs relative to corn crops using GPS collars during the 2019 and 2020 growing seasons (Feb-Sept) in Delta County, Texas, USA. We conducted separate analyses during 5 primary growth stages of corn: pre-planting, establishment, vegetative, blister-milk, and dent-mature. We calculated movement metrics, dynamic Brownian Bridge movement model home range estimates, and step selection functions, by sex and stage. Overall, males had larger movements and space use than females. Most pigs showed resident movement behaviors. Space use of wild pigs and selection for corn increased with the progression of corn growth stages. Pigs consistently select for sheltered areas and landscape context influenced use of corn. This study provides information of wild pig spatial ecology and timing of corn use that should aid producers in deciding the best timing and combination of damage mitigation methods for their situation.",oral,Cottam Awards,2022,NA
3,Predictors of Occupancy of a Declining Songbird (Bachman's Sparrow) At the Western Extent of Its Range,"The Bachman's Sparrow (Peucaea aestivalis) is a savanna specialist that relies on fire-maintained, open woodlands or old fields with a dense, herbaceous understory. Across its range, fire suppression and habitat loss have caused population declines, yet most research has focused on populations east of the Mississippi River. In Texas, this species is at the westernmost fringe of its range where vulnerability to extirpation is heightened. Our research paired detection data with habitat measurements to build statistical models that predict Bachman’s Sparrow site occupancy. We placed autonomous recording units (Wildlife Acoustic SM4s and Minis) to detect sparrows at sites of potential occupancy based on a species distribution model and measured local vegetation characteristics and one regional covariate at each plot. We paired measurements with presence/absence using the R package “unmarked” to build hierarchical occupancy models ranked by Akaike Information Criterion (AIC). We detected Bachman’s Sparrow at 40 of 240 sites (naïve occupancy estimate = 0.17). The top detection model had one covariate, midstory density, while the top occupancy model included herbaceous ground cover, midstory density, basal area, and canopy height and distance to source population. These results suggests that management for Bachman’s Sparrow should focus on practices that minimize midstory and reduce basal area in mature stands to promote herbaceous ground cover growth, especially near source populations.",oral,Cottam Awards,2022,NA
4,Modeling Pronghorn Behavior and Space-use: Acclimation of Translocated Pronghorn in The Edwards Plateau,"Translocation is the most widely used tool to combat megafauna population declines to prevent extinction. However, despite widespread use, there are no explicit measures for translocation success. To alleviate challenges, it is essential to define appropriate timescales to assess translocation success. We assessed the post-translocation acclimation period for translocated pronghorn (Antilocapra americana). In February 2019, Texas Parks and Wildlife (TPWD) collared 20 resident pronghorn on Rocker b Ranch, near Big Lake, Texas. In January 2020, TPWD translocated 115 pronghorn from Pampa, Texas, to the Rocker b Ranch. We affixed Global Positioning Systems collars on 44 of the 115 translocated pronghorn. We postulated that residents would maintain a static range size over time, whereas translocated pronghorn would initially have large range sizes that declined as they acclimated. We fit weekly utilization distribution (UD) using a kernel density estimator to understand pronghorn space-use and post-translocation behavior. We used the 75% isopleth of each UD to collate a time series of each individual’s weekly range size. We then used generalized linear mixed models to quantify differences between resident and translocated pronghorn behavior through time. We found that the acclimation period for translocated pronghorn is approximately 6 months post-release, much longer than previously thought. In addition, translocated pronghorn settled into smaller ranges than residents. This supports the notion that memory is a primary factor in pronghorn space use and the success of fence modification efforts and translocations should be evaluated over longer time scales than previously thought.",oral,Cottam Awards,2022,NA
5,NA,"Wind energy is a hazard for avian species, with raptors being especially vulnerable due to flight characteristics, low fecundity, and small population sizes. Swainson’s hawks (Buteo swainsoni) are migratory raptors that inhabit regions of North and South America that may be prime areas for building wind energy facilities. However, little information exists regarding vulnerability of this species to wind turbine mortality, displacement, or other impacts. We equipped 41 adult and juvenile Swainson’s hawks with satellite transmitters and tracked them across multiple years; we compared transmitter data to locations of wind facilities to assess risk. We could not find reliable wind facility locations internationally, so we used satellite imagery to identify suspected and confirmable wind turbines throughout the migration route and wintering range. To further assess risk, we used transmitter and wind turbine locations to model resource selection and resource selection probability functions throughout the global range. We found 26,258 wind turbines that might present a hazard to tracked hawks, with most turbine facilities being located on the breeding range. However, most hawk locations (90%) did not occur in collision-risk buffers, and those that did were also mostly (98%) on the breeding range; models agreed with the result that the breeding range presents the most significant risk from this industry. Swainson’s hawks have rarely been found dead at turbine facilities though, perhaps because of their hunting style (i.e., flights low to the ground, perching on the ground, and diving from perches) and adaptability to changing landscape conditions.",oral,Cottam Awards,2022,NA
6,"Identifying Behavioral States of Ocelots, Bobcats, And Coyotes Using Hidden Markov Models","Describing the behavior of carnivores is essential to understanding their ecology. However, it is difficult to obtain accurate field data on behavior of carnivores. Advances in monitoring technology have provided the ability to obtain reliable, high-frequency data on wildlife. From these data, behavioral states can be approximated by analyzing angle and distance between locations. We monitored 12 ocelots (Leopardus pardalis), 19 bobcats (Lynx rufus), and 5 coyotes (Canis latrans) on the East Foundation’s El Sauz Ranch and the Yturria Ranch in South Texas, USA, that were fitted with a GPS collar that collected locations every 30 minutes. We characterized behavioral states using hidden Markov models. We assumed low turning angles and longer step lengths to represent patrolling territory, larger turning angles with shorter distances between successive points would represent hunting behavior, and low angles and minimal movement would indicate periods of rest. We predicted 1) each species exhibits three behavioral states: resting, hunting and territory patrolling, 2) ocelots moved further (i.e. territory patrolling) in open areas and rested in dense cover 3) bobcats and coyotes would remain in more open areas than ocelots. We found that ocelots remained closer to heavy cover when resting and foraging and used open areas more when patrolling territory. Bobcats and coyotes remained closer to open areas when foraging and patrolling and overall used open areas at a greater extent. Identifying behavior in the field improves our understanding of the ecology of these species and can target conservation efforts to manage habitat for various behaviors. Abstracts: General Sessions Session A1",oral,Cottam Awards,2022,NA
7,"Impacts of Woody Plant Removal on Wintering Grassland Bird Communities and Habitat Characteristics in The Marfa Grasslands, Texas","Grassland birds are one of the most imperiled avian groups in North America, having declined consistently and at higher rates than any other group of birds in the continent over the past seventy years. This loss is primarily attributed to the disappearance of suitable habitat, both on the breeding and wintering grounds. Approximately 90% of migratory grassland bird species that breed on North America’s Great Plains spend the winter in the Chihuahuan Desert. However, the encroachment of woody plants into grasslands degrades and changes suitable habitat into desert shrublands, contributing to the decline of grassland bird populations. To evaluate how grassland birds respond to habitat restoration efforts, I conducted bird and vegetation surveys on a ranch in the Marfa grasslands of West Texas. In the summer of 2019, approximately 1,619 ha of this private property was treated with an aerial herbicide spray. The ranch was divided into three stratum types (i.e., grassland, untreated, and herbicide-treated), and bird and vegetation surveys were conducted within each stratum during the winters of 2019-2021. The objectives of this research were to 1) estimate wintering grassland bird abundance in grassland plots, herbicide-treated plots, and untreated shrubland plots over three years of sampling, and 2) assess how treatment for woody plant removal influences habitat characteristics and the structure of wintering bird communities. This information will help us understand if using herbicide to remove woody plants is an effective way to restore grassland ecosystems and threatened grassland bird groups in the Chihuahuan Desert.",oral,A1: Avian Ecology and Management,2022,NA
8,Living at Home: Assessing Inclusive Fitness Benefits Associated with Resource Sharing in A Familial Flocking Songbird,"Kin-selection theory proposes that survival of related individuals increases indirect fitness through the passing of shared genes. However, in avian populations that congregate with extended relatives, there is debate as to how far kin-selection is favored when the proportion of shared genes decreases. Thus, the ability to examine closely and distantly related individuals could elucidate if inclusive fitness benefits are gained by individuals participating in various social flocks. To understand the benefits (or lack thereof) for members engaging in social flocks with relatives, particularly regarding resource sharing, I studied a passive integrated transponder (PIT) tagged population of black-crested titmice (Baeolophus atricristatus, BCTI), a songbird that frequently interacts with close (~50% shared genes) and extended (<50% shared genes) relatives. I PIT-tagged BCTI in San Marcos, Texas and deployed 12 radio frequency identification (RFID) feeder stations between January 2019-April 2020. Of the 451 PIT-tagged BCTI, 61 individuals were recorded at feeding stations, comprising 24 close family groups (male, female, offspring) and 16 lineages (extended relatives). The observed proportion of feeding bouts where extended family shared resources was lower than expected (n = 1,344; p < 0.01). However, the duration of feeding bouts when extended kin were present was significantly longer than when unrelated individuals were present (n = 1,298; p = 0.02). Therefore, results from this study suggest related BCTI share resources in a “quality over quantity” (time over frequency) manner which may ultimately increase inclusive fitness of participating individuals.",oral,A1: Avian Ecology and Management,2022,NA
9,No Differences in Body Size and Condition of Purple Martins Along an Urban-rural Gradient in Texas,"Purple Martins (Progne subis) are a New World insectivorous passerine species that are in decline across their entire range. The eastern subspecies is almost entirely dependent on human provided nest structures, which are increasingly being provided by “landlords” in urban settings. In response, Purple Martins have expanded their ranges into cities, yet little is known about the physiology of urban populations. Previous studies on avian body condition across urban-rural gradients have been conflicting, and almost always focus on granivorous species. In this study, I captured Purple Martins (n = 83) at 12 nesting sites across central Texas. For each bird, I measured mass, muscle and fat score, skull length, wing chord, and tail length. I used these measures to calculate a Scaled Mass Index for each individual, as well as calculating an Urban Land Use Index for each nesting site. I used generalized linear modeling to test the relationship between Urban Land Use Index and Scaled Mass Index, mass, muscle score, fat score, and skull length within sex. I found no significant difference in any measure of body size and condition across an urban-rural gradient, suggesting that urban and rural habitats may provide equal resource opportunities for breeding Purple Martins. These data provide evidence that conservation opportunities for Purple Martins exist within urban habitats, with little physiological impact on individuals.",oral,A1: Avian Ecology and Management,2022,NA
10,Avian Productivity in South Texas Rangelands,"Declining grassland bird distribution and abundance has raised the need for management efforts. Very little native grassland remains in the United States, and much of it is used for livestock grazing. Cattle affect the local environment and wildlife communities, although studies relating cattle grazing and grassland birds on a multi-species level are lacking. Fewer studies have assessed productivity specifically in relation to grazing. Grazing may affect suitable avian breeding territories through altering vegetation structure, density, and composition. This study assessed the effects of cattle grazing on bird communities by comparing bird productivity and vegetation in a south Texas rangeland. This study was conducted on the East Foundation’s San Antonio Viejo Ranch, Jim Hogg County, Texas using data from a multi-species avian productivity monitoring program. Beginning in 2019, observational monitoring of breeding birds was completed in 15 1600 m2 transects. Overall, species richness was higher on average in 2020 and 2021 than in 2019. Nest success remained steady in 2019 and 2020, and nearly doubled in 2021. Cattle were deferred in 2019 and 2020 due to drought and returned before the 2021 breeding season. This aligns with the increase in nest success, indicating that there may be a relationship between allowing pastures to rest after extreme weather events and higher avian productivity. Gaining a better understanding of the relationship between grazing and the productivity of local bird communities will provide ranchers with more awareness of the land they manage and how to maintain biodiversity, which can be indicative of ecosystem health.",oral,A1: Avian Ecology and Management,2022,NA
