Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
2009985,107 West Colonia,Populated Place,Hidalgo County,Texas,Alton,41,26.3184033,-98.2652916,None,10/20/2003,null,null,null,null,48215,48
2009986,11 North-Victoria Road-FM 493 Colonia,Populated Place,Hidalgo County,Texas,Donna,24,26.2134069,-98.0313936,None,10/20/2003,null,null,null,null,48215,48
2009987,13 1/2 North-FM 493 Colonia,Populated Place,Hidalgo County,Texas,Donna,22,26.2492392,-98.0402828,None,10/20/2003,null,null,null,null,48215,48
2009988,13 North-2 West Colonia,Populated Place,Hidalgo County,Texas,Mercedes,17,26.2442397,-97.9391676,None,10/20/2003,null,null,null,null,48215,48
2009989,15 1/2 North-FM 491 Colonia,Populated Place,Hidalgo County,Texas,Edcouch,17,26.2814611,-97.9183335,None,10/20/2003,null,null,null,null,48215,48
2009990,17 1/2 North-6 West Colonia,Populated Place,Hidalgo County,Texas,La Blanca,21,26.3092375,-98.0202821,None,10/20/2003,null,null,null,null,48215,48
2010295,"1st, 2nd, and 3rd Street Area Colonia",Populated Place,Bee County,Texas,Beeville East,65,28.4333309,-97.7113861,None,10/20/2003,null,null,null,null,48025,48
2010309,21 Subdivision Colonia,Populated Place,Cameron County,Texas,East Brownsville,7,25.8903589,-97.4283141,None,10/20/2003,null,null,null,null,48061,48
2009991,281 Estates Colonia,Populated Place,Hidalgo County,Texas,Faysville,25,26.3784018,-98.1522317,None,10/20/2003,null,null,null,null,48215,48
2011497,665 Site Colonia,Populated Place,Jim Wells County,Texas,Alice South,51,27.7303052,-98.0333353,None,10/20/2003,null,null,null,null,48249,48
2009992,9 North-East FM 493 Colonia,Populated Place,Hidalgo County,Texas,San Juan SE,24,26.1153541,-98.066395,None,10/20/2003,null,null,null,null,48215,48
2010643,A F Pierce Colonia,Populated Place,Zapata County,Texas,Zapata,120,26.9042051,-99.2742034,None,10/20/2003,null,null,null,null,48505,48
2011255,A T Martinez Colonia,Populated Place,Starr County,Texas,Rio Grande City North,63,26.3903425,-98.8433607,None,10/20/2003,null,null,null,null,48427,48
2009993,A and E Ramirez Colonia,Populated Place,Hidalgo County,Texas,Progreso,20,26.0953546,-97.9513907,None,10/20/2003,null,null,null,null,48215,48
2009994,A and E Ramirez Colonia Number 2,Populated Place,Hidalgo County,Texas,Progreso,20,26.0992434,-97.9533352,None,10/20/2003,null,null,null,null,48215,48
1329165,Abbott,Populated Place,Hill County,Texas,Abbott,217,31.8848809,-97.0733361,None,11/30/1979,00100,P1,null,null,48217,48
1377158,Abell,Populated Place,Carson County,Texas,Abell,1063,35.3933811,-101.458781,None,12/31/2003,00112,U6,null,null,48065,48
1379306,Abell City,Populated Place,Pecos County,Texas,Buena Vista,726,31.2501438,-102.65876,None,11/30/1979,null,null,null,null,48371,48
1329169,Abercrombie,Populated Place,Travis County,Texas,Austin East,219,30.338817,-97.7255615,None,11/30/1979,00124,U4,null,null,48453,48
1379307,Abercrombie,Populated Place,Brazoria County,Texas,Ashwood,9,29.032196,-95.7532848,None,11/30/1979,null,null,null,null,48039,48
1379308,Aberdeen,Populated Place,Collingsworth County,Texas,Lutie,632,35.0378299,-100.1492797,None,11/30/1979,00136,U6,null,null,48087,48
1350850,Aberfoyle,Populated Place,Hunt County,Texas,Wolfe City,184,33.3051113,-96.0252479,None,11/30/1979,00148,U6,null,null,48231,48
1350851,Abernathy,Populated Place,Lubbock County,Texas,Abernathy,1024,33.8323038,-101.8429491,None,11/30/1979,00160,P1,null,null,48303,48
1329173,Abilene,Populated Place,Taylor County,Texas,Abilene East,521,32.4487364,-99.7331439,1/1/1943,11/30/1979,01000,P1,null,null,48441,48
1379309,Abington,Populated Place,Childress County,Texas,Smithdale,516,34.5445053,-100.2073361,None,11/30/1979,null,null,null,null,48075,48
2034631,Ables Springs,Populated Place,Kaufman County,Texas,Ables Springs,158,32.8148476,-96.1210842,None,2/20/2004,null,null,null,null,48257,48
1384213,Abner,Populated Place,Kaufman County,Texas,Elmo,163,32.6279109,-96.1916425,None,11/30/1979,01048,U6,null,null,48257,48
1329182,Abram,Populated Place,Hidalgo County,Texas,La Joya,36,26.1997957,-98.4111287,None,11/30/1979,01060,U5,null,null,48215,48
2009995,Abram North Colonia,Populated Place,Hidalgo County,Texas,Citrus City,61,26.287293,-98.3864063,None,10/20/2003,null,null,null,null,48215,48
1377122,Abshier Settlement,Populated Place,Liberty County,Texas,Whites Bayou,11,29.915496,-94.6238064,None,12/31/2003,null,null,null,null,48291,48
2009996,Acacia Colonia,Populated Place,Hidalgo County,Texas,Edinburg,33,26.2514612,-98.1883444,None,10/20/2003,null,null,null,null,48215,48
1350858,Academy,Populated Place,Bell County,Texas,Little River,148,30.9810162,-97.3416686,None,11/30/1979,01078,U4,null,null,48027,48
1379310,Acala,Populated Place,Hudspeth County,Texas,Acala,1083,31.334013,-105.9144137,None,11/30/1979,01084,U6,null,null,48229,48
1377916,Acampo,Populated Place,Shackelford County,Texas,Acampo,583,32.7128965,-99.4436928,None,11/30/1979,null,null,null,null,48417,48
1379311,Ace,Populated Place,Polk County,Texas,Schwab City,53,30.5363152,-94.8243744,None,11/30/1979,01096,U6,null,null,48373,48
2009959,Acevedo Colonia Number 4,Populated Place,Hidalgo County,Texas,Mission,36,26.20924,-98.3691832,None,10/20/2003,null,null,null,null,48215,48
2009960,Acevedo Number 3 Colonia,Populated Place,Hidalgo County,Texas,Citrus City,57,26.2892375,-98.3758505,None,10/20/2003,null,null,null,null,48215,48
1329187,Ackerly,Populated Place,Dawson County,Texas,Ackerly,854,32.5264993,-101.71597,None,11/30/1979,01108,P1,null,null,48115,48
2009961,Acosta Colonia,Populated Place,Hidalgo County,Texas,Alton,43,26.3172922,-98.2752919,None,10/20/2003,null,null,null,null,48215,48
2009962,Acre Tract Colonia,Populated Place,Hidalgo County,Texas,Mercedes,18,26.2284067,-97.9583351,None,10/20/2003,null,null,null,null,48215,48
